#{"t_start": 1780297418.6229866, "env_id": "None"},
r,l,t
-299.504341,13,18.182688
-232.462078,13,27.541088
-218.927871,24,36.721501
-600.176052,34,46.945735
-388.164993,22,56.077452
-467.572695,50,66.061771
-591.610462,52,75.990642
-727.565113,36,86.281062
-202.295018,11,94.470632
-221.403727,12,102.715148
-304.362983,13,111.936568
-326.993304,14,120.614236
-241.085041,14,129.596357
-340.932262,16,138.936476
-797.787198,31,148.603936
-491.105156,35,158.593208
-246.450629,14,167.668351
-337.157142,14,176.295903
-364.048992,17,184.835598
-382.086939,22,194.366658
-444.473879,23,204.003441
-535.902656,47,214.161725
-346.652192,16,222.446257
-372.308419,35,231.964857
-425.706339,27,240.795941
-613.738014,48,251.075191
-242.762057,15,259.399177
-329.82597,15,267.775067
-252.544016,14,276.170995
-276.895221,14,285.506048
-641.68375,46,295.257597
-353.682271,19,304.346752
-827.977505,77,315.634798
-445.824037,27,325.158694
-158.508223,12,333.251886
-525.976612,39,342.64166
-718.238334,34,352.129694
-741.602666,32,361.91171
-550.152957,35,371.370358
-359.593044,21,380.654471
-536.122321,38,390.943367
-363.288877,18,399.424111
-459.654964,29,408.848009
-934.441681,70,419.982186
-398.276511,25,429.480441
-340.076793,17,438.967887
-297.336272,15,447.280619
-441.638299,63,568.856766
-496.163812,34,578.041136
-627.800604,37,587.626686
-457.311552,28,597.261653
-365.042236,16,605.83895
-342.882073,20,615.279039
-382.246635,25,624.692524
-383.913306,18,634.290676
-335.8737,14,642.838321
-477.438302,35,651.922339
-360.106657,22,661.361115
-580.700358,33,670.524033
-462.843966,47,680.699497
-249.774778,15,689.436945
-651.915782,37,698.996813
-465.364765,42,709.360264
-178.901934,14,717.505069
-539.654566,33,727.75209
-606.236303,35,737.564575
-3545.270979,265,759.048256
-654.987545,32,769.498483
-329.621298,19,778.436064
-308.960844,14,788.86956
-846.667557,43,799.952596
-352.088375,20,809.73866
-416.37932,34,819.965594
-644.270747,52,830.297068
-762.438509,68,841.347763
-182.715838,12,849.937468
-599.346602,46,859.972188
-805.518857,35,870.213048
-483.301666,42,880.226796
-642.588053,53,1000.894849
