"#{""t_start"": 1778824503.1099143"," ""env_id"": ""None""}",
r,l,t
-501.065859,33,19.585741
-131.26123,16,28.622797
-472.205192,37,39.132866
-255.181521,24,48.806733
-603.097392,39,58.912988
-188.889643,12,68.218767
-164.530035,12,76.777253
-111.477804,11,84.937726
-147.193549,14,93.460624
-132.434728,13,101.671131
-246.72614,37,111.63229
-175.451272,38,121.049435
-151.875936,13,129.404649
-287.451328,35,139.056456
-137.360884,14,148.551258
-125.130273,11,156.697036
-506.144788,46,167.221243
-413.861701,36,177.178741
-119.807064,11,185.444553
-180.545884,24,194.527731
-239.078469,23,203.483327
-77.198148,41,213.901101
-131.775399,12,222.63727
-253.081529,20,231.390971
-328.182507,43,241.368709
-396.702909,35,250.708794
-486.422462,34,260.010203
-474.148673,31,270.380951
-392.535763,37,279.83686
-429.763219,35,289.261828
-208.421406,14,298.649521
-190.172056,36,308.063058
-348.898964,35,318.599257
-138.550762,12,327.405469
-137.405022,12,335.974224
-224.49087,16,344.979788
-306.856214,33,354.43389
-259.483916,19,363.870122
-514.227225,33,374.223912
-227.159824,17,383.83375
-382.180638,35,394.343047
-168.300593,13,403.939702
-494.910662,36,413.780875
-148.977053,13,422.266601
-155.132582,12,430.899758
-228.872128,15,440.099778
-524.132936,39,450.148997
-509.695341,33,460.076015
-304.163267,38,470.658792
-134.73142,11,479.132334
-133.020263,13,487.899149
-461.739895,34,589.930387
-321.485949,38,599.407606
-165.688446,13,607.837237
-511.072094,36,618.563585
-396.952122,35,627.887793
-411.72923,34,637.356203
-128.569792,13,646.459331
-123.47571,12,654.674511
-222.15854,17,664.305088
-289.10043,35,673.938852
-141.652202,12,683.287066
-105.432831,12,691.576799
-369.131514,33,700.933825
-208.828188,16,710.5572
-139.044683,11,718.724027
-336.810841,41,728.301377
-486.323659,37,738.672008
-145.489081,35,748.134817
-345.241586,34,757.574433
-133.232795,11,766.712675
-276.356774,24,776.627292
-147.920664,11,785.25108
-139.678235,13,794.501696
-258.827739,17,803.520542
-426.267874,37,813.092979
-463.993772,35,823.787017
-146.999982,11,832.091491
-489.207611,31,841.464253
-143.07675,13,850.089677
-143.270935,11,858.714093
-119.837829,11,866.804752
-450.894064,33,876.217849
-235.218051,36,885.658172
-238.488013,19,895.917258
-130.610094,13,904.27708
-375.125652,41,914.850711
-255.936327,21,924.486299
-71.38292,39,934.013732
-169.720495,18,942.847243
-332.502592,36,952.726241
-304.52667,34,962.872151
-130.475888,13,971.580355
-373.924003,44,981.582088
-267.275505,15,991.17358
-155.713647,13,1001.502716
-175.817577,15,1009.935062
-363.156072,33,1019.829816
-438.681771,38,1030.520342
-458.91207,38,1040.657531
-149.809313,11,1049.76359
-159.416938,13,1058.330584
-167.138704,14,1066.9622
-115.537288,12,1075.034395
-311.092956,41,1176.939214
-141.849741,14,1185.668766
-172.573619,15,1195.21685
-560.05859,39,1205.286588
-162.652517,15,1214.121034
-166.441873,18,1222.960876
-132.736994,38,1232.72058
-299.4782,37,1242.341036
-545.91703,31,1252.61055
-157.107558,14,1261.422213
-150.505146,37,1270.802228
-145.504044,12,1279.369064
-225.598314,41,1290.649857
-463.968306,34,1301.039529
-430.837329,36,1311.291294
-540.847486,35,1322.024611
-483.31774,34,1333.492711
-148.914876,16,1342.451265
-268.811368,36,1353.552729
-164.63857,14,1363.166966
-165.98201,14,1372.183238
-495.323116,31,1382.713297
-169.399909,17,1392.461446
-460.847379,34,1402.54203
-277.050802,21,1412.329098
-495.420635,35,1423.631906
-518.108344,32,1434.208418
-175.0491,15,1443.017168
-150.790371,12,1453.032612
-259.696933,18,1461.636652
-318.014021,43,1472.713193
-465.529396,31,1483.74893
-198.135704,19,1494.033624
-539.483843,34,1504.108062
-342.455171,37,1514.481046
-160.966218,12,1523.032756
-125.846632,11,1531.938048
-582.34729,38,1543.155571
-144.219738,12,1551.44861
-128.503362,12,1560.782308
-402.756111,36,1571.516329
-353.641295,32,1580.728633
-453.358461,40,1591.444664
-153.709323,13,1601.515365
-129.54034,14,1610.480484
-444.795967,34,1620.71851
-141.019678,14,1630.464614
-148.265917,17,1639.85682
-138.078192,13,1649.126578
-120.859017,45,1660.655008
-140.523854,14,1758.208841
-122.733988,12,1767.191999
-235.739896,16,1776.173295
-157.558732,13,1785.315841
-258.653869,16,1794.772378
-328.904686,40,1804.698666
-137.902136,14,1814.004365
-297.506172,32,1823.146499
-249.515513,19,1832.893204
-130.647978,35,1843.089105
-128.874086,12,1851.87809
-542.257497,42,1863.083538
-165.821425,15,1873.23658
-136.750055,14,1881.801508
-154.024763,13,1891.294688
-127.580743,12,1901.064928
-139.359055,15,1910.406025
-272.654683,21,1919.852652
-473.089631,37,1931.133423
-358.850331,32,1941.111753
-280.45883,38,1952.169373
-248.435545,43,1963.365613
-326.096504,32,1972.583855
-166.044489,12,1982.688358
-135.487736,13,1992.113455
