#{"t_start": 1779948995.375043, "env_id": "None"}
r,l,t
111.634353,50,19.454126
94.134301,57,30.458691
-168.995527,12,39.791385
1471.302459,244,60.424342
-101.379913,38,70.691284
835.151078,152,86.905923
3167.721944,479,119.104906
41.112111,47,129.882473
-166.264919,38,139.653033
-62.771273,35,149.28709
38.973219,61,160.113576
-251.914302,44,170.115769
3791.71806,547,381.407895
82.295149,60,392.468459
8.569437,42,403.725074
-461.452417,812,599.935333
53.648329,56,611.507035
13.82703,56,621.895871
1281.674541,222,643.651759
122.803829,53,654.346812
717.611551,166,671.766892
-2230.350215,603,885.327286
55.749687,55,897.185505
-19.53838,40,907.415646
2631.383236,457,940.218131
-39.977048,48,951.634253
1023.661424,177,969.728311
287.897773,366,998.798807
-3011.161074,630,1181.167845
649.063396,128,1195.991715
-17.893847,53,1206.368605
281.190794,79,1217.766724
29.737345,39,1227.853854
-191.17328,13,1237.251075
214.608223,111,1251.603342
-189.649229,19,1261.049099
-91.235832,37,1271.488126
-72.426927,39,1281.419055
110.759542,62,1292.258827
647.850188,221,1468.963305
-197.187627,28,1478.595127
1496.894193,271,1499.936531
-721.823593,423,1528.632534
198.997471,120,1542.962541
115.124041,100,1556.290104
-133.984099,14,1565.468086
185.139366,373,1752.719456
-187.862365,14,1762.100629
-1032.586699,421,1794.090527
-12.245017,50,1804.170779
106.828272,52,1814.854228
-193.615647,18,1824.237107
53.499257,44,1834.11827
-48.484793,56,1844.530221
2798.453881,416,1873.618814
145.36634,62,1884.470326
-169.562621,13,1893.806675
-18.370831,42,2038.668543
52.689067,64,2049.559662
1366.679733,245,2070.101717
-94.300915,47,2080.282882
-189.602386,40,2090.063424
367.361847,91,2102.054855
-190.148075,15,2111.441624
7.549346,44,2122.289128
0.340519,69,2133.322161
-106.86243,39,2143.760027
759.061941,147,2159.60379
1755.676187,280,2182.715684
1154.389776,204,2390.916403
1423.561169,235,2412.760773
943.484056,166,2430.825851
-185.031794,16,2441.124417
2374.634408,355,2469.25002
85.319075,61,2480.532204
1584.759462,262,2503.589348
958.236208,177,2705.456514
-70.894418,45,2716.40402
9.415863,46,2727.634203
1032.717636,177,2745.975679
19.057876,44,2756.84583
200.513119,94,2770.147828
-101.921476,58,2780.882788
-192.04758,60,2792.406924
13.281929,43,2803.820658
46.917713,43,2815.030219
142.525159,73,2826.37391
-4551.896861,1119,3033.357855
-3.755217,36,3043.458147
1198.005958,198,3061.941272
-7.233919,42,3072.26806
1274.700322,217,3091.305761
-41.295381,39,3101.738739
74.278189,68,3113.215642
1456.162042,264,3264.517948
5.07632,74,3275.599777
-134.334613,15,3284.987369
64.760717,55,3295.319751
-108.208921,40,3305.707541
119.523025,62,3316.291548
-3534.565358,896,3369.112568
174.016554,73,3511.566903
-62.091106,40,3522.240494
-33.875095,39,3532.723667
-117.167236,37,3543.315454
-193.788896,25,3552.796095
9.158955,51,3563.772428
313.091365,161,3579.546934
1395.68131,239,3599.570874
1449.576366,263,3620.193474
-11.860271,65,3630.902276
589.555213,117,3645.325434
68.060512,79,3656.852283
18.483177,58,3667.355816
-37.519648,48,3677.683952
-64.102555,47,3834.591689
-56.329836,44,3844.954309
1300.891574,211,3864.147846
1672.151482,274,3885.876538
1381.090449,230,3905.456815
1224.477194,214,3924.380628
1013.634643,201,3941.946294
123.906513,156,4112.111346
-114.00164,37,4122.480291
9.14403,50,4133.404349
26.836308,56,4143.62787
-88.365217,38,4154.219447
-289.491988,34,4164.434784
-37.160188,69,4175.256672
-40.013121,48,4185.569502
531.633707,245,4206.442338
-174.427254,27,4215.907902
-2074.505023,600,4383.858667
-108.707355,39,4394.282073
-170.985148,39,4404.826702
16.802048,50,4415.802838
-46.804239,49,4426.227681
-188.525484,16,4435.595723
-1669.159433,534,4470.049982
738.099676,237,4489.869882
1334.551383,230,4509.135898
-4996.226036,707,4695.215446
891.238574,164,4712.330005
0.808406,44,4722.213802
39.472034,49,4733.095585
57.05054,50,4743.683306
-1967.30492,643,4908.625572
-93.072697,64,4919.259292
53.307148,52,4929.495442
-35.007532,53,4940.385482
-104.234449,39,4950.468967
156.72283,97,4963.852491
8.150977,40,4974.482116
38.48383,68,4985.511584
-92.347268,48,4995.901335
2469.390112,374,5022.081894
-3274.308793,727,5201.38999
-68.219184,42,5211.788146
-37.706477,53,5222.371027
24.133949,44,5232.448469
109.295557,83,5244.247718
-57.497738,37,5254.530868
669.031872,207,5273.024272
-188.023388,15,5282.406772
-1708.310074,638,5449.843532
762.053277,199,5468.467831
1473.958706,254,5488.702454
1097.021535,196,5506.584609
-137.89228,15,5516.013269
7.474115,58,5526.546917
-190.838412,15,5535.929723
14.91275,53,5546.267628
530.653084,126,5699.21926
248.966236,75,5710.95995
236.269974,83,5723.789479
-42.382969,46,5734.273631
-1256.113674,365,5760.302031
21.1934,61,5770.929359
-189.079922,56,5781.316797
-47.449147,47,5791.600348
-16.005884,61,5802.132991
573.788311,127,5817.870261
-91.871499,33,5827.671502
-41.92295,40,5837.962184
205.828729,77,5849.698956
-170.401205,20,5859.089211
389.477419,107,5872.122651
852.844647,163,6032.053284
-185.926891,15,6041.438985
-29.722687,59,6052.164181
-24.917416,66,6063.243992
-127.246398,14,6072.630132
1415.123464,241,6092.77824
23.995155,56,6103.60486
457.087966,114,6117.942708
91.518331,58,6129.246545
-26.374281,47,6139.927208
-39.496148,41,6150.353743
-187.497248,14,6159.732043
1261.86511,212,6178.835821
1296.964075,332,6350.483649
1237.253139,203,6369.232027
624.80715,130,6384.166814
2122.704198,329,6408.052666
1740.206442,270,6429.440254
-109.038358,30,6439.119364
51.206339,63,6449.702337
701.665496,176,6613.260137
1379.456786,238,6633.162569
-182.99842,49,6643.097712
48.241246,59,6653.916002
1116.050423,183,6671.702686
2491.18822,575,6708.322813
-111.569636,50,6718.454185
578.1229,127,6871.296104
36.52716,57,6881.530637
-246.098932,44,6891.216727
-189.069594,42,6901.006951
-24.528948,40,6910.93794
-107.200218,33,6920.669781
-173.129907,52,6931.796802
-506.698367,379,6958.391874
70.10231,83,6971.130725
393.436327,157,6986.512717
1077.836573,190,7004.002624
-191.836651,61,7014.53699
1039.341797,186,7171.809455
548.460129,114,7186.02351
-27.908894,39,7196.510193
806.900911,175,7213.238958
-166.853909,12,7222.729036
1040.587349,185,7240.27012
487.107066,106,7254.207285
1760.186727,294,7276.693343
19.572432,55,7287.492421
433.916096,102,7301.272345
-83.336235,42,7311.404497
